Word,Frequency,Ph_Count,Letter_Count,Validity,Script,Language,Listing
आदमी ,94686,4,NA,Word,Native,Hindi,1
आदर्श ,103296,5,NA,Word,Native,Hindi,1
आदि ,1766125,3,NA,Word,Native,Hindi,1
आधुनिक ,49151,6,NA,Word,Native,Hindi,1
आनंद ,187017,5,NA,Word,Native,Hindi,1
आपदा ,83629,4,NA,Word,Native,Hindi,1
आपसी ,70026,4,NA,Word,Native,Hindi,1
आबादी ,100746,5,NA,Word,Native,Hindi,1
आयु ,62379,3,NA,Word,Native,Hindi,1
आयोजन ,747178,7,NA,Word,Native,Hindi,1
आलम ,163513,4,NA,Word,Native,Hindi,1
आला ,41365,3,NA,Word,Native,Hindi,1
आलोक ,100722,4,NA,Word,Native,Hindi,1
आवश्यक ,150791,7,NA,Word,Native,Hindi,1
आवेदन ,293671,6,NA,Word,Native,Hindi,1
आशंका ,112200,6,NA,Word,Native,Hindi,1
आसपास ,263971,5,NA,Word,Native,Hindi,1
आसानी ,51947,5,NA,Word,Native,Hindi,1
आस्था ,49634,4,NA,Word,Native,Hindi,1
आह्वान ,128744,5,NA,Word,Native,Hindi,1
इंकार ,56570,5,NA,Word,Native,Hindi,1
इंतजाम ,73935,7,NA,Word,Native,Hindi,1
इतनी ,81377,4,NA,Word,Native,Hindi,1
इन्हें ,93846,4,NA,Word,Native,Hindi,1
ईश्वर ,64888,5,NA,Word,Native,Hindi,1
उठाए ,49035,4,NA,Word,Native,Hindi,1
उठाया ,137202,5,NA,Word,Native,Hindi,1
उत्पाद ,43060,5,NA,Word,Native,Hindi,1
उत्पीड़न ,53672,7,NA,Word,Native,Hindi,1
उत्सव ,60133,5,NA,Word,Native,Hindi,1
उत्साह ,84906,5,NA,Word,Native,Hindi,1
उधर ,273222,4,NA,Word,Native,Hindi,1
उपचार ,225526,6,NA,Word,Native,Hindi,1
उपयोग ,90717,5,NA,Word,Native,Hindi,1
उपरांत ,70671,6,NA,Word,Native,Hindi,1
उपलक्ष्य ,46199,7,NA,Word,Native,Hindi,1
उपलब्ध ,414574,6,NA,Word,Native,Hindi,1
उपस्थित ,868782,7,NA,Word,Native,Hindi,1
उपायुक्त ,223450,7,NA,Word,Native,Hindi,1
उल्लंघन ,49097,8,NA,Word,Native,Hindi,1
एकत्र ,58400,5,NA,Word,Native,Hindi,1
कचहरी ,49545,8,NA,Word,Native,Hindi,1
कटौती ,112694,6,NA,Word,Native,Hindi,1
कथा ,118579,4,NA,Word,Native,Hindi,1
कपड़े ,67114,5,NA,Word,Native,Hindi,1
करके ,322197,5,NA,Word,Native,Hindi,1
करती ,177079,5,NA,Word,Native,Hindi,1
करवाई ,107578,6,NA,Word,Native,Hindi,1
कराकर ,82617,7,NA,Word,Native,Hindi,1
कलश ,55065,5,NA,Word,Native,Hindi,1
कवि ,46477,4,NA,Word,Native,Hindi,1
कस्बा ,75455,5,NA,Word,Native,Hindi,1
काटने ,74014,5,NA,Word,Native,Hindi,1
कानून ,162146,5,NA,Word,Native,Hindi,1
कायम ,69211,5,NA,Word,Native,Hindi,1
कारण ,1382181,5,NA,Word,Native,Hindi,1
कार्रवाई ,1049604,7,NA,Word,Native,Hindi,1
किशोर ,186164,5,NA,Word,Native,Hindi,1
किशोरी ,104521,6,NA,Word,Native,Hindi,1
कीमत ,118764,5,NA,Word,Native,Hindi,1
कूड़ा ,74174,4,NA,Word,Native,Hindi,1
केंद्र ,972524,5,NA,Word,Native,Hindi,1
कैबिनेट ,41047,7,NA,Word,Native,Hindi,1
कोतवाली ,374564,7,NA,Word,Native,Hindi,1
कोयला ,48101,5,NA,Word,Native,Hindi,1
खंड ,236510,4,NA,Word,Native,Hindi,1
खरीदारी ,59299,8,NA,Word,Native,Hindi,1
खारिज ,50148,6,NA,Word,Native,Hindi,1
खाली ,166851,4,NA,Word,Native,Hindi,1
खिलाड़ी ,92019,6,NA,Word,Native,Hindi,1
खेत ,166565,4,NA,Word,Native,Hindi,1
खेलकूद ,48716,6,NA,Word,Native,Hindi,1
गंभीरता ,105803,8,NA,Word,Native,Hindi,1
गणित ,44604,5,NA,Word,Native,Hindi,1
गर्भवती ,44214,8,NA,Word,Native,Hindi,1
गर्मी ,187821,5,NA,Word,Native,Hindi,1
गाड़ी ,226407,4,NA,Word,Native,Hindi,1
गायत्री ,40358,6,NA,Word,Native,Hindi,1
गिरफ्तार ,614945,8,NA,Word,Native,Hindi,1
गुहार ,100285,5,NA,Word,Native,Hindi,1
गैर ,92442,4,NA,Word,Native,Hindi,1
गोपाल ,126124,5,NA,Word,Native,Hindi,1
ग्रहण ,100182,6,NA,Word,Native,Hindi,1
ग्राम ,697872,4,NA,Word,Native,Hindi,1
घाट ,133211,3,NA,Word,Native,Hindi,1
घुसकर ,44071,6,NA,Word,Native,Hindi,1
घोटाले ,41325,6,NA,Word,Native,Hindi,1
चयनित ,78632,7,NA,Word,Native,Hindi,1
चले ,176039,5,NA,Word,Native,Hindi,1
चाकू ,44201,5,NA,Word,Native,Hindi,1
चाय ,59394,4,NA,Word,Native,Hindi,1
चावल ,69977,6,NA,Word,Native,Hindi,1
चाहता ,40865,6,NA,Word,Native,Hindi,1
चाहिए ,711382,6,NA,Word,Native,Hindi,1
चुनौती ,56836,7,NA,Word,Native,Hindi,1
चौक ,356058,5,NA,Word,Native,Hindi,1
चौकी ,195271,5,NA,Word,Native,Hindi,1
चौधरी ,466881,6,NA,Word,Native,Hindi,1
चौराहा ,62199,7,NA,Word,Native,Hindi,1
छात्रा ,199930,6,NA,Word,Native,Hindi,1
छानबीन ,101507,7,NA,Word,Native,Hindi,1
छापा ,48330,5,NA,Word,Native,Hindi,1
छोटा ,50131,5,NA,Word,Native,Hindi,1
छोड़ ,168089,5,NA,Word,Native,Hindi,1
जंगल ,97711,7,NA,Word,Native,Hindi,1
जनता ,474106,6,NA,Word,Native,Hindi,1
जन्म ,116474,5,NA,Word,Native,Hindi,1
जरूरी ,200526,7,NA,Word,Native,Hindi,1
जहर ,43687,6,NA,Word,Native,Hindi,1
जागरण ,1654565,7,NA,Word,Native,Hindi,1
जिन्हें ,69346,6,NA,Word,Native,Hindi,1
जिला ,2288308,5,NA,Word,Native,Hindi,1
जीप ,43373,4,NA,Word,Native,Hindi,1
जीवन ,336852,6,NA,Word,Native,Hindi,1
जुलूस ,127155,6,NA,Word,Native,Hindi,1
जून ,241561,4,NA,Word,Native,Hindi,1
ज्ञापन ,251118,7,NA,Word,Native,Hindi,1
ठेकेदार ,113105,7,NA,Word,Native,Hindi,1
तत्काल ,159371,6,NA,Word,Native,Hindi,1
तत्कालीन ,71517,8,NA,Word,Native,Hindi,1
तभी ,192397,4,NA,Word,Native,Hindi,1
तलाशी ,61897,6,NA,Word,Native,Hindi,1
तस्करी ,50759,6,NA,Word,Native,Hindi,1
तापमान ,108244,6,NA,Word,Native,Hindi,1
तार ,139456,3,NA,Word,Native,Hindi,1
तालाब ,167058,5,NA,Word,Native,Hindi,1
तिथि ,125494,4,NA,Word,Native,Hindi,1
तीस ,54849,3,NA,Word,Native,Hindi,1
तीसरा ,67136,5,NA,Word,Native,Hindi,1
तुरंत ,118442,6,NA,Word,Native,Hindi,1
तृतीय ,137418,6,NA,Word,Native,Hindi,1
तेजी ,129147,5,NA,Word,Native,Hindi,1
तैनाती ,91878,6,NA,Word,Native,Hindi,1
तैयार ,479556,5,NA,Word,Native,Hindi,1
तोड़कर ,65306,6,NA,Word,Native,Hindi,1
दर्ज ,1307889,5,NA,Word,Native,Hindi,1
दलित ,60263,5,NA,Word,Native,Hindi,1
दवा ,161700,4,NA,Word,Native,Hindi,1
दहशत ,59685,6,NA,Word,Native,Hindi,1
दान ,51698,3,NA,Word,Native,Hindi,1
दायर ,63831,5,NA,Word,Native,Hindi,1
दावा ,116464,4,NA,Word,Native,Hindi,1
दिखा ,87838,4,NA,Word,Native,Hindi,1
दिखाया ,61799,6,NA,Word,Native,Hindi,1
दिन ,1612377,3,NA,Word,Native,Hindi,1
दुर्गा ,113350,5,NA,Word,Native,Hindi,1
दुर्घटना ,173215,8,NA,Word,Native,Hindi,1
दूरी ,97446,4,NA,Word,Native,Hindi,1
दूसरा ,153384,5,NA,Word,Native,Hindi,1
देव ,127463,4,NA,Word,Native,Hindi,1
देवी ,952452,4,NA,Word,Native,Hindi,1
दोनों ,980364,4,NA,Word,Native,Hindi,1
दोबारा ,92202,6,NA,Word,Native,Hindi,1
दोस्त ,44236,5,NA,Word,Native,Hindi,1
दौरा ,99864,4,NA,Word,Native,Hindi,1
द्वार ,55247,4,NA,Word,Native,Hindi,1
द्वितीय ,226586,6,NA,Word,Native,Hindi,1
धन्यवाद ,64189,7,NA,Word,Native,Hindi,1
धाम ,58439,3,NA,Word,Native,Hindi,1
धारा ,117281,4,NA,Word,Native,Hindi,1
ध्वस्त ,41727,5,NA,Word,Native,Hindi,1
नकद ,46503,5,NA,Word,Native,Hindi,1
नवंबर ,175691,8,NA,Word,Native,Hindi,1
नवीन ,102647,5,NA,Word,Native,Hindi,1
नहीं ,6617030,4,NA,Word,Native,Hindi,1
नाटक ,75416,5,NA,Word,Native,Hindi,1
नाबालिग ,55673,7,NA,Word,Native,Hindi,1
नामांकन ,211628,7,NA,Word,Native,Hindi,1
नारे ,45724,4,NA,Word,Native,Hindi,1
निंदा ,41855,5,NA,Word,Native,Hindi,1
निकाय ,44737,5,NA,Word,Native,Hindi,1
निगम ,611626,5,NA,Word,Native,Hindi,1
निज ,154113,4,NA,Word,Native,Hindi,1
निधि ,52979,4,NA,Word,Native,Hindi,1
निरस्त ,50818,6,NA,Word,Native,Hindi,1
निर्णय ,306613,6,NA,Word,Native,Hindi,1
निर्मल ,77681,6,NA,Word,Native,Hindi,1
निवास ,57824,5,NA,Word,Native,Hindi,1
निश्चित ,46873,7,NA,Word,Native,Hindi,1
नींद ,47330,3,NA,Word,Native,Hindi,1
नीचे ,186122,5,NA,Word,Native,Hindi,1
नीलम ,58022,5,NA,Word,Native,Hindi,1
न्यूनतम ,63578,7,NA,Word,Native,Hindi,1
पक्ष ,271454,4,NA,Word,Native,Hindi,1
पढ़ने ,63744,6,NA,Word,Native,Hindi,1
पदक ,78100,5,NA,Word,Native,Hindi,1
पदार्थ ,60282,6,NA,Word,Native,Hindi,1
परिषद ,395556,7,NA,Word,Native,Hindi,1
परिसर ,428480,7,NA,Word,Native,Hindi,1
परेशानी ,322767,8,NA,Word,Native,Hindi,1
पर्याप्त ,73551,7,NA,Word,Native,Hindi,1
पसंद ,40850,6,NA,Word,Native,Hindi,1
पहुंच ,492716,7,NA,Word,Native,Hindi,1
पहुंचा ,214370,8,NA,Word,Native,Hindi,1
पहुंची ,384455,8,NA,Word,Native,Hindi,1
पाठ ,91893,3,NA,Word,Native,Hindi,1
पात्र ,45638,4,NA,Word,Native,Hindi,1
पार ,127443,3,NA,Word,Native,Hindi,1
पारा ,58310,4,NA,Word,Native,Hindi,1
पालन ,117863,5,NA,Word,Native,Hindi,1
पालिका ,180723,6,NA,Word,Native,Hindi,1
पिछड़ा ,41119,6,NA,Word,Native,Hindi,1
पिता ,386141,4,NA,Word,Native,Hindi,1
पीछे ,247166,5,NA,Word,Native,Hindi,1
पुत्र ,688965,4,NA,Word,Native,Hindi,1
पुत्री ,136879,5,NA,Word,Native,Hindi,1
पुराने ,112080,6,NA,Word,Native,Hindi,1
पूजन ,107177,6,NA,Word,Native,Hindi,1
पैदा ,116670,4,NA,Word,Native,Hindi,1
पोल ,78775,4,NA,Word,Native,Hindi,1
प्रकार ,320098,6,NA,Word,Native,Hindi,1
प्रकाशित ,49019,8,NA,Word,Native,Hindi,1
प्रकोष्ठ ,46785,7,NA,Word,Native,Hindi,1
प्रखंड ,794485,7,NA,Word,Native,Hindi,1
प्रचार ,138085,7,NA,Word,Native,Hindi,1
प्रताप ,168411,6,NA,Word,Native,Hindi,1
प्रत्याशी ,259911,8,NA,Word,Native,Hindi,1
प्रदान ,209174,6,NA,Word,Native,Hindi,1
प्रदूषण ,89198,8,NA,Word,Native,Hindi,1
प्रधान ,800932,6,NA,Word,Native,Hindi,1
प्रभारी ,609594,7,NA,Word,Native,Hindi,1
प्रभावित ,227822,8,NA,Word,Native,Hindi,1
प्रवक्ता ,95299,8,NA,Word,Native,Hindi,1
प्रवीण ,96572,6,NA,Word,Native,Hindi,1
प्रशांत ,45204,7,NA,Word,Native,Hindi,1
प्रशासन ,926177,8,NA,Word,Native,Hindi,1
प्रस्तुत ,180023,7,NA,Word,Native,Hindi,1
प्रारंभ ,82691,7,NA,Word,Native,Hindi,1
प्रावधान ,60634,7,NA,Word,Native,Hindi,1
फिलहाल ,143517,6,NA,Word,Native,Hindi,1
फूल ,75199,3,NA,Word,Native,Hindi,1
बकाया ,88444,6,NA,Word,Native,Hindi,1
बच्चे ,407368,7,NA,Word,Native,Hindi,1
बड़ी ,341277,4,NA,Word,Native,Hindi,1
बढ़ता ,49458,5,NA,Word,Native,Hindi,1
बढ़ते ,46385,5,NA,Word,Native,Hindi,1
बढ़ावा ,66489,6,NA,Word,Native,Hindi,1
बढ़ोतरी ,46250,8,NA,Word,Native,Hindi,1
बताया ,3320111,6,NA,Word,Native,Hindi,1
बतौर ,89623,5,NA,Word,Native,Hindi,1
बदमाश ,121763,6,NA,Word,Native,Hindi,1
बदला ,46852,5,NA,Word,Native,Hindi,1
बराबर ,50861,7,NA,Word,Native,Hindi,1
बलदेव ,50982,6,NA,Word,Native,Hindi,1
बादल ,95560,5,NA,Word,Native,Hindi,1
बाधित ,87798,5,NA,Word,Native,Hindi,1
बारह ,54552,5,NA,Word,Native,Hindi,1
बारिश ,303668,5,NA,Word,Native,Hindi,1
बालक ,91269,5,NA,Word,Native,Hindi,1
बाहर ,531060,5,NA,Word,Native,Hindi,1
बिना ,299258,4,NA,Word,Native,Hindi,1
बीज ,97206,4,NA,Word,Native,Hindi,1
बैठ ,60049,4,NA,Word,Native,Hindi,1
भक्ति ,67016,5,NA,Word,Native,Hindi,1
भत्ता ,40397,5,NA,Word,Native,Hindi,1
भरा ,114924,4,NA,Word,Native,Hindi,1
भर्ती ,401624,5,NA,Word,Native,Hindi,1
भवन ,456555,5,NA,Word,Native,Hindi,1
भविष्य ,159945,6,NA,Word,Native,Hindi,1
भारत ,407664,5,NA,Word,Native,Hindi,1
भारतीय ,329383,6,NA,Word,Native,Hindi,1
भावना ,65128,5,NA,Word,Native,Hindi,1
भाषण ,50866,5,NA,Word,Native,Hindi,1
भीतर ,96550,5,NA,Word,Native,Hindi,1
भूख ,47711,3,NA,Word,Native,Hindi,1
भूमि ,289218,4,NA,Word,Native,Hindi,1
भूमिका ,156201,6,NA,Word,Native,Hindi,1
मंच ,200391,5,NA,Word,Native,Hindi,1
मंचन ,40216,7,NA,Word,Native,Hindi,1
मंजूरी ,61178,8,NA,Word,Native,Hindi,1
मंत्री ,646484,6,NA,Word,Native,Hindi,1
मंदिर ,703672,6,NA,Word,Native,Hindi,1
मगर ,235840,5,NA,Word,Native,Hindi,1
मजदूरी ,79232,8,NA,Word,Native,Hindi,1
मतदाता ,174651,7,NA,Word,Native,Hindi,1
मदद ,237099,5,NA,Word,Native,Hindi,1
मनाया ,192892,6,NA,Word,Native,Hindi,1
मरीज ,135712,6,NA,Word,Native,Hindi,1
मशीन ,120857,5,NA,Word,Native,Hindi,1
महंगाई ,78018,8,NA,Word,Native,Hindi,1
महात्मा ,44349,7,NA,Word,Native,Hindi,1
महादेव ,46256,7,NA,Word,Native,Hindi,1
महासंघ ,41416,8,NA,Word,Native,Hindi,1
माता ,202171,4,NA,Word,Native,Hindi,1
मारा ,45727,4,NA,Word,Native,Hindi,1
माल ,104658,3,NA,Word,Native,Hindi,1
मालिक ,147367,5,NA,Word,Native,Hindi,1
मालूम ,60317,5,NA,Word,Native,Hindi,1
माह ,597027,3,NA,Word,Native,Hindi,1
मिट्टी ,115574,5,NA,Word,Native,Hindi,1
मिलन ,41772,5,NA,Word,Native,Hindi,1
मुकदमे ,41934,7,NA,Word,Native,Hindi,1
मुक्त ,126338,4,NA,Word,Native,Hindi,1
मुलाकात ,81916,7,NA,Word,Native,Hindi,1
मुहल्ला ,66057,7,NA,Word,Native,Hindi,1
मुहैया ,106643,6,NA,Word,Native,Hindi,1
मूल्य ,84729,4,NA,Word,Native,Hindi,1
मेला ,170832,4,NA,Word,Native,Hindi,1
मोर्चा ,140358,6,NA,Word,Native,Hindi,1
मौका ,115605,4,NA,Word,Native,Hindi,1
यात्रा ,268047,5,NA,Word,Native,Hindi,1
युवक ,710320,5,NA,Word,Native,Hindi,1
रकम ,64810,5,NA,Word,Native,Hindi,1
रक्तदान ,78410,7,NA,Word,Native,Hindi,1
रजत ,44052,6,NA,Word,Native,Hindi,1
रवाना ,148367,6,NA,Word,Native,Hindi,1
राजा ,93032,5,NA,Word,Native,Hindi,1
रात्रि ,127296,5,NA,Word,Native,Hindi,1
राशि ,402566,4,NA,Word,Native,Hindi,1
राष्ट्रीय ,447924,7,NA,Word,Native,Hindi,1
राहत ,213947,5,NA,Word,Native,Hindi,1
रिपोर्ट ,509600,6,NA,Word,Native,Hindi,1
रोजगार ,160293,7,NA,Word,Native,Hindi,1
रोजाना ,69475,7,NA,Word,Native,Hindi,1
रोहतक ,78877,6,NA,Word,Native,Hindi,1
लकड़ी ,48175,5,NA,Word,Native,Hindi,1
लक्ष्मी ,90747,6,NA,Word,Native,Hindi,1
लगाया ,538071,6,NA,Word,Native,Hindi,1
लगेगा ,41781,6,NA,Word,Native,Hindi,1
लड़ाई ,71588,5,NA,Word,Native,Hindi,1
लागत ,109270,5,NA,Word,Native,Hindi,1
लिखित ,95071,5,NA,Word,Native,Hindi,1
लिया ,1963333,4,NA,Word,Native,Hindi,1
लूट ,230414,3,NA,Word,Native,Hindi,1
लेखपाल ,48252,6,NA,Word,Native,Hindi,1
लोकसभा ,114058,7,NA,Word,Native,Hindi,1
वक्त ,135072,4,NA,Word,Native,Hindi,1
वरिष्ठ ,296635,6,NA,Word,Native,Hindi,1
वर्ग ,395834,4,NA,Word,Native,Hindi,1
वर्तमान ,152862,7,NA,Word,Native,Hindi,1
वर्षीय ,265307,6,NA,Word,Native,Hindi,1
वही ,90880,4,NA,Word,Native,Hindi,1
वापस ,327242,5,NA,Word,Native,Hindi,1
वापसी ,43350,5,NA,Word,Native,Hindi,1
वाहन ,548179,5,NA,Word,Native,Hindi,1
विकलांग ,55245,7,NA,Word,Native,Hindi,1
विक्रम ,69968,6,NA,Word,Native,Hindi,1
विगत ,64370,5,NA,Word,Native,Hindi,1
विजयी ,52306,6,NA,Word,Native,Hindi,1
वितरण ,325140,6,NA,Word,Native,Hindi,1
वित्तीय ,90470,6,NA,Word,Native,Hindi,1
विदाई ,44869,5,NA,Word,Native,Hindi,1
विद्यालय ,946860,8,NA,Word,Native,Hindi,1
विद्युत ,343318,6,NA,Word,Native,Hindi,1
विधायक ,610557,7,NA,Word,Native,Hindi,1
विभागीय ,174407,7,NA,Word,Native,Hindi,1
विमर्श ,57116,6,NA,Word,Native,Hindi,1
विरुद्ध ,196154,6,NA,Word,Native,Hindi,1
विवश ,46160,5,NA,Word,Native,Hindi,1
विवाद ,301973,5,NA,Word,Native,Hindi,1
विश्वास ,94495,6,NA,Word,Native,Hindi,1
वृद्धि ,94435,6,NA,Word,Native,Hindi,1
वेद ,41378,4,NA,Word,Native,Hindi,1
व्यस्त ,44450,5,NA,Word,Native,Hindi,1
व्यापार ,112729,6,NA,Word,Native,Hindi,1
शहर ,1017352,5,NA,Word,Native,Hindi,1
शहरी ,107462,5,NA,Word,Native,Hindi,1
शहीद ,127227,5,NA,Word,Native,Hindi,1
शांत ,103943,4,NA,Word,Native,Hindi,1
शाह ,73079,3,NA,Word,Native,Hindi,1
शाही ,40518,4,NA,Word,Native,Hindi,1
शिक्षण ,70712,6,NA,Word,Native,Hindi,1
शिक्षा ,941798,5,NA,Word,Native,Hindi,1
शिव ,255261,3,NA,Word,Native,Hindi,1
शिविर ,408431,5,NA,Word,Native,Hindi,1
शिशु ,55695,4,NA,Word,Native,Hindi,1
शीघ्र ,198949,4,NA,Word,Native,Hindi,1
शुक्ल ,75365,4,NA,Word,Native,Hindi,1
शुभारंभ ,154078,8,NA,Word,Native,Hindi,1
शुरुआत ,117243,6,NA,Word,Native,Hindi,1
शुरू ,1498271,4,NA,Word,Native,Hindi,1
शुल्क ,129502,4,NA,Word,Native,Hindi,1
शोध ,41968,4,NA,Word,Native,Hindi,1
शोर ,97709,4,NA,Word,Native,Hindi,1
शौचालय ,125407,8,NA,Word,Native,Hindi,1
श्याम ,129691,4,NA,Word,Native,Hindi,1
श्रम ,57396,4,NA,Word,Native,Hindi,1
श्रमिक ,51184,6,NA,Word,Native,Hindi,1
संगत ,54567,6,NA,Word,Native,Hindi,1
संगीत ,72241,6,NA,Word,Native,Hindi,1
संदर्भ ,44250,7,NA,Word,Native,Hindi,1
संदिग्ध ,109232,7,NA,Word,Native,Hindi,1
संदीप ,164991,6,NA,Word,Native,Hindi,1
संदेश ,114598,6,NA,Word,Native,Hindi,1
संपत्ति ,69744,8,NA,Word,Native,Hindi,1
संपन्न ,170919,7,NA,Word,Native,Hindi,1
संबंधी ,165523,8,NA,Word,Native,Hindi,1
संबोधित ,310430,8,NA,Word,Native,Hindi,1
संस्कार ,84559,8,NA,Word,Native,Hindi,1
संस्कृति ,96911,8,NA,Word,Native,Hindi,1
संस्थान ,196214,8,NA,Word,Native,Hindi,1
सड़क ,70054,5,NA,Word,Native,Hindi,1
सत्र ,159072,4,NA,Word,Native,Hindi,1
सत्संग ,47135,7,NA,Word,Native,Hindi,1
सदस्यता ,61490,8,NA,Word,Native,Hindi,1
समझ ,66900,6,NA,Word,Native,Hindi,1
समर्थन ,157679,8,NA,Word,Native,Hindi,1
समर्पित ,44877,8,NA,Word,Native,Hindi,1
समस्त ,54846,6,NA,Word,Native,Hindi,1
समाज ,556392,6,NA,Word,Native,Hindi,1
समाधान ,181762,7,NA,Word,Native,Hindi,1
समान ,65892,5,NA,Word,Native,Hindi,1
समूह ,89827,5,NA,Word,Native,Hindi,1
सम्मेलन ,171143,8,NA,Word,Native,Hindi,1
सरकार ,1932019,6,NA,Word,Native,Hindi,1
सर्दी ,46247,5,NA,Word,Native,Hindi,1
सर्वाधिक ,45804,8,NA,Word,Native,Hindi,1
सवार ,353705,5,NA,Word,Native,Hindi,1
ससुराल ,78504,7,NA,Word,Native,Hindi,1
सहयोग ,331841,6,NA,Word,Native,Hindi,1
सहायक ,266056,7,NA,Word,Native,Hindi,1
सहारा ,57805,6,NA,Word,Native,Hindi,1
सांस ,47341,4,NA,Word,Native,Hindi,1
सात ,411037,3,NA,Word,Native,Hindi,1
साथ ,3615628,3,NA,Word,Native,Hindi,1
साथी ,89958,4,NA,Word,Native,Hindi,1
साधन ,41174,5,NA,Word,Native,Hindi,1
सामग्री ,108785,6,NA,Word,Native,Hindi,1
सामना ,206254,5,NA,Word,Native,Hindi,1
सामाजिक ,187118,8,NA,Word,Native,Hindi,1
सामान ,302205,5,NA,Word,Native,Hindi,1
सारा ,55860,4,NA,Word,Native,Hindi,1
सितंबर ,150686,8,NA,Word,Native,Hindi,1
सिपाही ,101648,6,NA,Word,Native,Hindi,1
सीनियर ,144915,7,NA,Word,Native,Hindi,1
सुधार ,174480,5,NA,Word,Native,Hindi,1
सुनकर ,61635,6,NA,Word,Native,Hindi,1
सुबह ,864031,5,NA,Word,Native,Hindi,1
सुमन ,98119,5,NA,Word,Native,Hindi,1
सूचित ,47433,6,NA,Word,Native,Hindi,1
सूची ,281581,5,NA,Word,Native,Hindi,1
सेवक ,74516,5,NA,Word,Native,Hindi,1
सेवा ,479232,4,NA,Word,Native,Hindi,1
सोच ,60330,5,NA,Word,Native,Hindi,1
सोमवार ,735467,6,NA,Word,Native,Hindi,1
स्थापना ,152651,6,NA,Word,Native,Hindi,1
स्थापित ,154653,6,NA,Word,Native,Hindi,1
स्थायी ,54363,5,NA,Word,Native,Hindi,1
स्थिति ,527424,5,NA,Word,Native,Hindi,1
स्वच्छ ,86502,7,NA,Word,Native,Hindi,1
स्वामी ,162503,5,NA,Word,Native,Hindi,1
स्वीकार ,59857,6,NA,Word,Native,Hindi,1
हड़कंप ,63884,7,NA,Word,Native,Hindi,1
हराया ,42839,6,NA,Word,Native,Hindi,1
हर्ष ,40582,4,NA,Word,Native,Hindi,1
हवन ,52997,5,NA,Word,Native,Hindi,1
हवाई ,40774,5,NA,Word,Native,Hindi,1
हाथ ,306139,3,NA,Word,Native,Hindi,1
हार ,56747,3,NA,Word,Native,Hindi,1
हालांकि ,346272,6,NA,Word,Native,Hindi,1
हिरासत ,136317,7,NA,Word,Native,Hindi,1
हुआ ,1489913,3,NA,Word,Native,Hindi,1
हेतु ,158604,4,NA,Word,Native,Hindi,1
हैं ,7244594,2,NA,Word,Native,Hindi,1
होंगी ,52069,4,NA,Word,Native,Hindi,1
होती ,497112,4,NA,Word,Native,Hindi,1
होना ,313381,4,NA,Word,Native,Hindi,1
भगवान ,274841,6,NA,Word,Native,Hindi,1
शोर ,97709,4,NA,Word,Native,Hindi,1
kiya,7731885,4,4,Word,Trans,Hindi,2
gaya,7558330,4,4,Word,Trans,Hindi,2
diya,4557405,4,4,Word,Trans,Hindi,2
kaha,4429093,4,4,Word,Trans,Hindi,2
rahe,4036223,4,4,Word,Trans,Hindi,2
baad,3835536,3,4,Word,Trans,Hindi,2
saath,3615628,3,5,Word,Trans,Hindi,2
